Diferenca de Golos da Equipa da Casa,Golos Marcados pela Equipa da Casa_5J,Golos Marcados pela Equipa Fora_5J,Golos Sofridos pela Equipa da Casa_5J,Golos Sofridos pela Equipa Fora_5J,Taxa de Vitorias da Equipa da Casa_10J,Taxa de Vitorias da Equipa Fora_10J,Posicao da Equipa da Casa na Liga,Posicao da Equipa Fora na Liga,Distancia Percorrida_Equipa Fora,Temperatura no Dia do Jogo,Numero de Espectadores,Golos da Equipa da Casa,Golos da Equipa Fora
0,2.382026173,1.098941486,1.465022945,1.585616072,0.560634979,0.772655853,3,16,796,18,39126,0,0
1,1.700078604,0.7833845,1.29976001,1.552391946,0.340831709,0.639281442,18,8,491,27,23304,2,1
1,1.989368992,2.066800124,1.709057949,1.652062301,0.816756453,0.133040816,15,1,139,22,31883,2,1
2,2.6204466,1.295324502,1.514106854,1.467649802,0.96126339,0.733671066,9,11,214,11,27494,2,0
0,2.433778995,1.111094803,0.048026339,1.72687939,0.368707949,0.242747026,8,10,682,11,15044,2,2
0,1.01136106,0.65748744,1.360240566,1.349909343,0.725066819,0.041507363,7,2,122,20,30663,1,1
0,1.975044209,1.686131166,1.703946428,0.968354314,0.447467766,0.173659702,19,8,866,19,21531,2,2
4,1.424321396,1.915735842,1.601060489,1.013064768,0.08156157,0.173438246,9,19,81,25,35613,4,0
-1,1.448390574,1.077463478,0.867405,0.954835934,0.874261962,0.548187805,14,14,99,20,13545,1,2
1,1.705299251,0.888373095,1.223339825,1.415199488,0.967238357,0.622044071,14,6,966,14,20067,1,0
-1,1.572021786,1.002000567,1.179754721,0.610185029,0.592905699,0.348679756,13,20,190,25,33134,0,1
2,2.227136753,0.520738799,1.269618327,0.459618338,0.816083938,0.386338806,8,11,373,29,43620,3,1
-1,1.880518863,1.861301264,1.566433062,1.635796159,0.077051316,0.111023553,19,20,732,12,23618,0,1
1,1.560837508,1.201721969,1.682200472,1.750382019,0.880137034,0.313640397,9,20,616,16,22950,1,0
-1,1.721931616,1.199901615,0.87195832,1.189958382,0.367612339,0.66322592,9,10,133,24,2055,0,1
0,1.666837164,1.966851978,0.458829752,1.088976961,0.193450192,0.070906564,16,4,721,12,43493,1,1
0,2.247039537,0.813458876,1.626534731,1.37310163,0.944647872,0.989576552,14,1,51,21,35634,0,0
2,1.397420868,0.999372531,1.76512754,1.740750634,0.966413518,0.613556192,4,5,724,23,19081,2,0
0,1.656533851,1.142321618,1.502591305,0.75016758,0.073097937,0.90328009,1,15,593,28,40966,1,1
4,1.07295213,1.705777724,1.402001241,1.782095363,0.975298913,0.479453912,14,20,99,26,27144,4,0
-2,0.223505092,1.956617761,0.888617205,1.456545702,0.224097159,0.573481811,6,9,249,14,1549,1,3
1,1.826809298,1.658534311,0.661562846,1.573821046,0.520028921,0.025457888,12,14,245,29,22238,2,1
0,1.932218099,1.564446536,1.186781563,1.847076205,0.10707411,0.268874034,17,13,832,20,41820,1,1
-1,1.12891749,1.476016072,0.791973645,1.437895007,0.184590226,0.488874184,18,11,243,19,29765,1,2
1,2.634877312,-0.201617042,0.971352609,2.232818531,0.184011744,0.5155219,8,17,92,29,31194,2,1
-2,0.772817163,1.001973411,1.446995451,1.6325685,0.269781826,0.525358451,1,5,452,19,45969,0,2
0,1.522879259,0.843428189,1.610026263,1.755378625,0.079913816,0.461660027,15,17,171,22,6665,0,0
0,1.406408075,1.850416834,1.689816826,0.332397759,0.265973612,0.41829933,16,10,288,14,38720,1,1
0,2.266389607,0.923567104,1.527492009,1.863592049,0.184588274,0.279489454,10,16,88,10,48124,1,1
-4,2.234679385,2.235448705,0.64828213,2.099764154,0.599404232,0.235031588,2,17,89,26,12126,0,4
-1,1.577473713,1.017045835,1.017775142,0.66331277,0.668349709,0.570086806,1,4,247,17,8324,1,2
-1,1.68908126,0.751184979,0.951433806,1.566686184,0.91975788,0.704015648,5,6,185,16,16028,0,1
-1,1.056107126,1.922468241,1.818919871,2.046013989,0.421285208,0.107800812,12,2,839,29,42732,0,1
2,0.509601766,1.286470927,2.080077211,1.353219146,0.528968245,0.979508433,12,13,68,12,18672,2,0
3,1.326043925,1.341344248,0.569896942,0.661202118,0.862490929,0.420354897,3,11,514,29,39848,3,0
0,1.578174485,1.745434782,0.33016207,0.290705187,0.74183898,0.765805071,10,19,308,18,4766,3,3
4,2.11514534,1.099325919,1.563292885,0.892211545,0.870562615,0.229608068,14,12,653,18,34325,4,0
1,2.101189924,0.859657122,2.130169384,1.39148438,0.698269068,0.649242842,3,10,837,10,28683,2,1
1,1.306336591,1.601637512,1.118095472,1.621518281,0.954656778,0.883392834,14,7,688,22,19467,1,0
2,1.348848625,1.028918085,1.284477404,1.366510743,0.414137243,0.449442647,8,20,605,21,48100,2,0
0,0.975723517,0.963755579,1.118188796,2.447768275,0.677888038,0.948998934,6,20,693,24,17747,1,1
0,0.789991031,0.853871551,1.920900817,0.75543821,0.14297742,0.082082774,6,15,744,17,16032,1,1
0,0.646864905,1.176664368,0.465663937,1.234333351,0.506378033,0.955301707,11,2,206,22,31619,0,0
-1,2.475387698,0.890209956,1.606605082,1.475404896,0.727109498,0.775612693,19,18,135,23,22683,1,2
0,1.245173909,1.634763004,1.321734555,0.889266394,0.130782351,0.33865558,5,7,516,21,5477,1,1
2,1.280962849,1.126558574,1.35827411,1.702529524,0.501335372,0.358056345,16,1,226,19,41240,2,0
-2,0.87360232,1.364045882,1.010697578,1.238658446,0.896839279,0.471050506,2,5,687,28,42020,0,2
4,1.888745178,0.51847825,0.667660636,1.080308472,0.995217919,0.534643238,17,7,595,23,33215,4,0
0,0.693051076,1.603917152,1.241256305,1.032258645,0.789376242,0.861783548,13,15,678,24,42472,0,0
1,1.39362986,1.530332015,1.057406749,1.697433104,0.093388996,0.656189643,11,20,462,28,32249,1,0
-1,1.052266719,1.589425023,1.811533515,1.425740856,0.386122965,0.851446815,9,7,672,25,32983,0,1
0,1.693451249,1.953660126,1.374177725,1.225626338,0.552945542,0.045283936,18,20,504,14,31851,3,3
1,1.244597431,1.389788103,1.285289688,1.549928064,0.169535131,0.600775654,17,9,95,25,43171,2,1
-1,0.909683908,1.525964774,1.737916402,0.204134376,0.504863876,0.605202881,3,15,95,23,28061,1,2
-1,1.485908886,1.376000079,1.367403899,2.36949016,0.803522573,0.116382878,7,16,276,23,47511,0,1
1,1.714165935,0.958130557,1.342032208,2.083135032,0.797180389,0.050264774,9,10,95,15,18972,2,1
0,1.533258611,1.132128565,1.746557989,1.262121726,0.738255734,0.280406237,3,4,277,22,29923,1,1
1,1.651235949,1.132514285,1.230781808,1.211176265,0.606488725,0.388254985,5,4,342,16,6279,1,0
0,1.182838953,1.702668108,1.174235278,1.414477802,0.927817611,0.467549024,3,20,646,12,29390,1,1
0,1.318629417,0.772837255,1.574513575,1.613556502,0.506802752,0.294432163,10,2,586,19,49566,1,1
-1,1.163769776,0.302617279,2.127784798,0.664843153,0.210020376,0.591621063,9,17,586,16,9754,1,2
-2,1.320223419,1.691455328,0.636363211,0.987902414,0.980586221,0.41826738,16,20,148,18,14868,0,2
3,1.093426859,1.60138748,1.233736471,0.932962318,0.831258529,0.583606112,18,3,224,14,44500,4,1
-1,0.636858699,0.966301822,0.262257482,1.351736938,0.739221595,0.54043214,3,6,384,12,27713,0,1
2,1.588713071,0.492883534,1.601393892,1.243502632,0.66554313,0.714886379,18,6,130,17,22105,3,1
1,1.299109532,0.640003275,1.543063525,0.345002205,0.848477934,0.052020478,1,14,312,27,24021,1,0
1,0.684900827,1.643598336,2.322484985,1.151920693,0.38732638,0.720127623,12,7,518,18,21325,1,0
-2,1.731391128,1.238141025,0.95526224,1.088353489,0.505868626,0.886786996,11,8,758,18,34805,2,4
-2,1.046350818,1.811564391,1.489495521,1.167482389,0.996239474,0.564202612,16,6,759,16,21523,0,2
-1,1.525972698,0.867181841,1.494741555,1.885001824,0.363710104,0.825773714,1,17,557,15,22829,0,1
2,1.864545281,1.029363128,1.906090632,1.312763577,0.922059381,0.186108785,20,1,774,29,3339,2,0
0,1.564491455,0.947672007,1.356828102,2.159017546,0.637598252,0.990355405,14,17,55,18,33681,1,1
0,2.069700342,1.363786677,0.781060056,1.71789264,0.059935497,0.415057352,3,8,411,27,28224,3,3
-1,0.88258709,1.771193396,2.053384341,1.252146223,0.583818002,0.11260091,12,17,577,25,44125,0,1
3,1.701170821,1.573265725,1.061612568,1.033260664,0.762653739,0.779648584,2,15,664,15,23757,3,0
-3,1.157594955,2.095528068,1.945817575,1.577312624,0.744238241,0.126262335,17,17,295,13,17942,0,3
-1,1.064601425,1.163731445,1.948086736,1.471919935,0.887310097,0.406735802,4,9,456,19,26819,0,1
-1,1.210575168,1.823840972,1.85721624,1.40574406,0.162731857,0.61253955,16,4,530,10,40680,0,1
0,1.344223734,1.235571489,1.388680977,2.556911807,0.065142173,0.074378568,2,18,496,18,4340,1,1
1,1.528082671,0.276113257,1.156228946,1.70830187,0.803055894,0.566254352,15,9,486,16,1118,1,0
-3,0.91742508,2.182957436,2.028426053,1.654711797,0.50289694,0.507199491,10,20,368,24,43897,0,3
2,1.950413243,1.079463065,1.72509556,1.501337633,0.411396259,0.048676604,11,20,225,13,38142,2,0
0,1.73283122,1.121097856,1.10845853,0.977952843,0.289080284,0.867688351,8,6,851,18,27390,1,1
0,0.731878157,1.462728798,0.989348011,1.121200868,0.191006734,0.834401242,9,18,500,28,38087,1,1
1,2.244126097,0.244164532,2.404514647,1.593359005,0.797911465,0.547231926,10,10,992,22,5410,1,0
-3,2.447944588,1.667402706,1.839601665,1.86180453,0.650992647,0.218147035,18,9,511,11,47721,0,3
-2,2.089389786,1.622973108,1.863413897,1.520315026,0.164933062,0.469748183,10,9,683,20,39190,0,2
0,1.410037582,1.259232333,1.373223233,1.895607979,0.241792787,0.355237207,11,3,812,16,49081,1,1
-1,0.964623689,1.451457234,0.777880722,1.694805201,0.533194867,0.653173345,12,14,126,26,39253,0,1
0,2.027225863,1.10086146,1.455643766,1.562352362,0.041445825,0.72603089,2,19,925,14,25572,0,0
1,1.298411527,1.582767914,1.776364502,1.368432708,0.161325818,0.549639686,20,18,404,15,17518,1,0
-1,2.111222535,1.653669478,1.231549677,0.97638544,0.998399406,0.964045523,12,2,257,24,18412,1,2
-1,1.604137489,1.298695586,1.378989925,1.635151843,0.86479735,0.224606036,13,11,714,21,23128,2,3
3,1.988319518,1.886924103,1.773423534,1.684751259,0.899731173,0.321241538,6,4,981,25,17374,4,1
-1,1.678183199,0.705334976,1.880952203,1.469853343,0.168256924,0.634461218,17,9,596,29,48767,0,1
1,1.853286584,0.70544881,1.355856365,1.275637083,0.665399412,0.943607347,6,16,232,20,49201,1,0
0,1.50525001,-0.038492698,0.672600887,1.96294834,0.085533594,0.520941832,12,19,545,12,48779,1,1
3,2.392935247,1.585127137,1.30209678,0.898637032,0.561417848,0.568553956,14,5,589,24,3740,3,0
-1,1.563456046,1.15693671,0.356459353,0.883077926,0.805155125,0.613979665,5,17,523,16,13877,0,1
3,1.700994682,0.771166023,2.205462378,1.953610829,0.394707032,0.548546787,6,20,781,29,28442,4,1
2,2.441575349,1.519586799,1.923380996,1.005368032,0.549498435,0.394081283,19,4,249,20,33541,2,0
0,0.826120469,1.076399828,0.714690641,2.24758238,0.253333335,0.942135886,20,13,684,29,38624,1,1
1,0.864757501,1.316689784,0.890072405,1.471908072,0.626626292,0.137416785,1,18,487,18,28857,1,0
0,1.984698354,1.635407059,0.780574529,1.436189247,0.901973767,0.63282077,17,7,930,23,23980,0,0
1,0.913438297,1.536927587,1.110241934,2.131189634,0.249793475,0.886674255,14,12,808,23,48408,1,0
1,2.471810593,2.01363349,1.423592838,1.746886892,0.415052487,0.435635742,13,16,308,11,48580,2,1
-1,1.29319051,1.575848259,1.348918771,1.434775609,0.581270962,0.324863077,17,19,877,14,17481,0,1
1,1.126272594,0.805829424,1.115616534,2.486444867,0.273350716,0.076699037,12,12,254,29,13211,1,0
-1,2.461471013,0.795889598,2.014051993,1.201416952,0.915137534,0.121830446,11,6,669,10,2145,0,1
1,2.240257396,0.513198161,0.666586845,1.9409968,0.89364043,0.971889831,12,2,436,29,13735,2,1
1,2.43377948,0.997700393,0.9342626,1.552190153,0.776230006,0.634794301,20,6,86,21,25551,1,0
-2,1.953022329,1.71403152,1.181902289,2.149335642,0.837198799,0.920190593,17,12,256,23,44656,1,3
1,1.069387157,0.440608784,1.267977226,1.746750912,0.244007206,0.64310374,10,20,574,16,14226,1,0
0,2.455032477,0.95809992,2.092503131,1.657218636,0.483792039,0.330886193,10,3,898,13,8501,2,2
2,1.365998315,1.507536602,1.584204916,1.04554825,0.609012582,0.156812375,15,11,78,20,47245,2,0
-4,1.901228198,1.61081023,0.794357443,2.412638902,0.856021932,0.95203298,15,2,933,24,31814,1,5
-1,1.973625984,1.263329433,0.719620003,2.417618536,0.399843891,0.670319236,18,3,244,20,12050,0,1
0,1.422494953,1.487625021,2.119334309,1.142971478,0.617932312,0.558341656,9,17,946,12,13761,1,1
1,1.807039685,2.253118877,1.300508192,1.180711385,0.392137257,0.71889051,10,3,507,14,16078,2,1
0,1.961103336,1.647244795,1.629980394,1.452606591,0.326456934,0.271458476,7,10,763,29,46678,0,0
0,1.688212766,0.806424558,1.047955997,1.75353824,0.532287821,0.569738205,11,5,631,10,17180,0,0
-1,0.950299605,0.50139022,2.180395834,1.96494213,0.473202506,0.465662173,20,16,532,11,12254,1,2
1,1.649119087,1.363659813,1.150642425,1.876313989,0.930935012,0.282140716,3,4,841,22,39911,3,2
0,2.163192948,1.59732722,1.26501604,1.229831582,0.886821993,0.595443781,11,16,662,29,39298,1,1
0,1.15271607,0.991990047,1.180465212,1.583979343,0.628271445,0.63027883,16,18,815,11,45674,1,1
-2,1.42518273,1.555637191,1.324043485,1.120464834,0.319224857,0.343487885,4,8,423,10,36829,0,2
1,1.282423224,1.179730999,1.271922957,1.675331001,0.755522651,0.030722461,10,17,234,21,13387,1,0
6,2.424631864,0.347772183,0.599386765,0.772295857,0.173754085,0.241357929,4,9,591,13,40165,6,0
0,1.836147379,1.491876743,1.096265414,1.860627989,0.925938082,0.226586427,18,8,382,15,14379,1,1
2,1.703730918,0.696206083,1.822818641,1.589467397,0.313642376,0.816703194,1,9,657,22,27202,3,1
-2,1.115041963,1.562592555,0.194206701,1.608109047,0.317072237,0.69133845,12,15,161,10,19811,0,2
0,1.769624596,1.673359467,1.350181637,1.844207106,0.035975418,0.852399237,12,4,543,15,46205,1,1
-1,1.16283367,1.453366445,0.71409024,1.847717185,0.428112918,0.424570284,2,20,106,10,20458,1,2
0,1.515915279,2.02247462,2.29717935,2.088264442,0.710704206,0.397576114,19,16,897,21,7339,0,0
1,1.182076961,1.456555065,0.929776111,1.483476828,0.798314067,0.947383203,7,8,937,29,28495,1,0
-2,1.838216647,1.363004761,0.376383256,2.497398709,0.085164053,0.336943323,6,3,598,25,23136,0,2
1,1.788295408,1.458259392,1.116814241,0.861701451,0.897826809,0.313719385,6,17,801,20,47888,1,0
0,1.395850622,1.280985927,2.139089391,1.179244471,0.738423237,0.096645613,17,15,543,11,9540,2,2
1,1.698003356,2.157138109,1.11778267,0.997178066,0.731840379,0.723118431,9,16,153,29,28453,3,2
-2,0.953469246,1.542604489,1.415802126,1.13022404,0.152426508,0.055274192,14,19,279,20,25982,0,2
1,0.754371204,2.535731804,0.98250532,2.119553161,0.133590756,0.786736883,1,16,874,22,49872,1,0
0,1.719695851,0.569208417,0.770412206,0.872474676,0.894287919,0.549974601,14,19,925,24,47845,1,1
-1,1.583336748,1.231687762,1.11670363,1.228308344,0.168266382,0.484231647,10,9,470,22,23032,0,1
0,1.817515718,0.893874556,0.631454384,1.033040965,0.627089912,0.169920239,11,4,273,24,30094,0,0
0,2.691572387,1.553217799,1.952729742,1.130404043,0.534072748,0.214074768,14,13,391,25,26437,0,0
0,1.972239743,1.125466247,1.327498555,1.253987054,0.142373915,0.997315758,15,16,488,14,37674,1,1
-2,1.043588887,1.360725454,0.721705955,2.647847533,0.472046343,0.593681817,17,4,827,26,2951,0,2
-1,2.058508144,1.028664813,1.206086852,2.27708105,0.115730709,0.820050308,20,14,456,19,30620,0,1
0,0.842046295,1.372862928,0.442336801,1.599955747,0.632992616,0.340447785,4,5,117,26,48116,1,1
-1,1.269207698,0.965859861,1.159584731,1.117130391,0.892340982,0.52278072,8,19,434,18,8642,0,1
3,1.465879197,1.345945808,1.48011867,0.674302892,0.980791911,0.204572324,1,13,151,19,28269,3,0
