Publico Presente,Time da Casa,Time Visitante,Dia da Semana,Posicao do Time da Casa no Campeonato,Posicao do Time Visitante no Campeonato,Popularidade do Time da Casa,Popularidade do Time Visitante,Importancia do Jogo,Cor do Uniforme da Casa,Cor do Uniforme Visitante,Distancia entre Cidades (km),Previsao do Tempo,Dia Nacional
48194,Team A,Team D,Friday,12,13,7.4,7.5,Low,Vermelho,Verde,303,Nublado,Nao
39998,Team D,Team B,Monday,1,3,7,9.7,High,Vermelho,Vermelho,297,Ensolarado,Nao
31411,Team B,Team D,Thursday,2,2,7.6,2.7,Low,Verde,Amarelo,775,Neve,Sim
3579,Team A,Team C,Friday,15,8,3.8,2.6,Medium,Vermelho,Azul,361,Nublado,Nao
25934,Team D,Team A,Tuesday,2,18,6,7.9,High,Verde,Verde,75,Chuvoso,Sim
45212,Team D,Team C,Wednesday,6,3,5.4,9.7,Medium,Azul,Vermelho,99,Nublado,Sim
32923,Team D,Team C,Saturday,6,14,3.6,6.9,Low,Azul,Branco,551,Neve,Sim
40220,Team D,Team A,Wednesday,10,2,3.4,9.5,Low,Azul,Verde,826,Ensolarado,Sim
15435,Team B,Team A,Monday,20,5,4.3,9.2,Low,Branco,Azul,534,Nublado,Nao
58261,Team D,Team B,Tuesday,10,6,8.7,3.9,High,Vermelho,Vermelho,758,Nublado,Sim
14708,Team B,Team B,Saturday,17,5,3.5,3.8,High,Amarelo,Azul,685,Neve,Nao
10524,Team C,Team C,Thursday,19,10,1.9,9.7,High,Azul,Azul,479,Neve,Nao
16752,Team A,Team D,Wednesday,11,8,5.3,1.5,High,Azul,Azul,801,Chuvoso,Nao
28890,Team D,Team B,Monday,1,4,7,7,Low,Branco,Verde,614,Ensolarado,Sim
1411,Team C,Team D,Friday,17,18,9.8,2.2,Medium,Branco,Vermelho,906,Ensolarado,Nao
-5085,Team A,Team C,Thursday,20,3,5.3,6.3,High,Verde,Vermelho,312,Ensolarado,Nao
30324,Team A,Team D,Wednesday,2,11,3.1,8.6,Medium,Amarelo,Azul,464,Neve,Nao
27925,Team A,Team B,Friday,13,16,7.8,5.5,Low,Vermelho,Amarelo,238,Nublado,Nao
35417,Team C,Team C,Friday,4,5,7.4,5.6,Medium,Amarelo,Azul,732,Neve,Nao
25908,Team B,Team D,Monday,17,9,2,9.7,High,Vermelho,Azul,876,Ensolarado,Nao
50808,Team C,Team B,Saturday,11,10,2.9,7.6,Low,Verde,Amarelo,859,Neve,Nao
11081,Team D,Team B,Friday,17,12,3,1.9,Low,Azul,Azul,857,Neve,Sim
9801,Team D,Team C,Thursday,6,17,9.1,5.3,Low,Amarelo,Vermelho,634,Neve,Sim
