Risco de Lesao,ID do Jogador,Idade,Lesoes Anteriores,Intensidade do Jogo,Posicao Jogada,Minutos Jogados,Tempo de Recuperacao,Metricas Fisicas,Carga de Treinamento,Condicoes Climaticas,Tipo de Partida,Qualidade da Equipe Medica,Altura do Jogador (cm),Peso do Jogador (kg),Cidade Natal,Numero de Fans nas Redes Sociais,Numero de Anos no Clube
0.511765287,1,33,1,Low,Defender,95,2,1.40524615,62.83891358,Rainy,Cup,3.86664862,187,96,Coimbra,493892,3
0.570773167,2,32,1,High,Midfielder,39,4,5.631690282,41.97208139,Rainy,Friendly,2.205546524,184,77,Porto,805500,8
0.430545894,3,25,0,Medium,Goalkeeper,62,3,4.542241442,59.43659102,Clear,Cup,3.638465086,193,77,Lisboa,610768,8
0.447518666,4,25,2,Medium,Goalkeeper,49,3,3.673246727,51.28531185,Clear,Cup,6.850882428,190,65,Faro,694623,8
0.189807978,5,27,0,Low,Defender,13,4,5.781977078,49.90408402,Rainy,Friendly,6.100844775,180,69,Coimbra,993466,1
0.430562322,6,28,0,High,Forward,15,2,8.133616134,55.31510573,Rainy,Cup,6.321124822,182,72,Porto,690938,1
0.609077095,7,22,3,Medium,Forward,81,1,3.359407646,41.45116716,Windy,Cup,6.701679192,183,99,Lisboa,122854,8
0.421464631,8,36,1,Low,Midfielder,65,1,4.475148486,54.47582485,Rainy,League,7.744147484,158,99,Braga,58716,7
0.557700259,9,19,1,High,Defender,50,1,5.071484354,61.80344201,Snowy,League,5.30822729,163,99,Braga,448016,7
0.404417959,10,23,1,Medium,Midfielder,87,4,-0.760709222,33.69207735,Rainy,Cup,6.751426849,194,79,Faro,354367,1
0.606869465,11,33,2,High,Goalkeeper,40,2,7.04532479,45.63657634,Snowy,League,6.092196227,198,95,Porto,67510,4
0.615484783,12,32,1,High,Forward,58,2,1.740696897,51.3959274,Snowy,Cup,4.280618422,209,76,Coimbra,382789,4
0.436588422,13,25,0,Medium,Forward,48,1,0.250480695,37.57933724,Clear,League,5.374043273,169,61,Braga,495976,8
0.447983527,14,35,0,Medium,Goalkeeper,20,1,4.812262656,66.62363749,Clear,Cup,5.023488916,165,80,Coimbra,530362,9
0.358577759,15,24,2,Low,Forward,40,3,4.024548902,53.80709293,Clear,Cup,6.297628992,172,59,Lisboa,598468,6
0.601952306,16,26,1,High,Forward,36,1,5.979972087,53.04130822,Windy,Friendly,3.902142439,185,68,Coimbra,827325,5
0.408340852,17,18,1,Medium,Midfielder,62,4,3.921713788,52.31273944,Clear,Cup,4.257247447,150,99,Coimbra,497745,3
0.648831759,18,28,1,Medium,Midfielder,116,1,7.73907725,53.72060615,Windy,Friendly,3.496662234,157,83,Lisboa,864451,3
0.452359303,19,29,2,Low,Goalkeeper,117,3,6.288334502,28.95765827,Snowy,League,7.819073775,173,82,Braga,205503,8
0.603053363,20,26,0,High,Goalkeeper,111,3,6.533418136,67.29968991,Snowy,League,3.098663676,202,50,Coimbra,856362,3
0.380217941,21,37,1,Medium,Forward,41,4,2.262893388,74.6343109,Snowy,Friendly,7.510340341,161,56,Lisboa,961979,1
0.558372697,22,35,1,Medium,Goalkeeper,119,4,6.241388604,66.24895445,Clear,Friendly,4.405656051,156,87,Lisboa,343032,8
0.467289171,23,23,1,High,Goalkeeper,20,2,7.489622438,62.48303245,Snowy,League,6.56525407,179,50,Coimbra,690448,5
0.608389534,24,22,3,Medium,Defender,69,2,3.391576016,62.77621186,Windy,League,4.629870488,173,69,Faro,512967,2
0.368029065,25,24,0,Medium,Defender,46,3,3.808693233,61.762847,Windy,Friendly,5.093440809,205,61,Lisboa,24690,5
0.476402636,26,22,1,Medium,Forward,21,1,5.002850609,23.83951502,Snowy,Cup,3.974918014,178,50,Coimbra,708194,7
0.416335651,27,21,1,Low,Goalkeeper,45,1,3.222496807,57.1482437,Windy,Friendly,4.162778787,202,81,Porto,278603,1
0.426259324,28,18,0,High,Forward,64,3,8.335607026,65.73074163,Snowy,Cup,6.20588929,154,56,Coimbra,78639,6
0.677096293,29,23,4,Medium,Forward,75,2,9.099388412,38.1286489,Snowy,Cup,4.671095873,194,50,Lisboa,643264,9
0.626622678,30,39,2,Low,Goalkeeper,88,1,4.79312397,43.39154039,Rainy,Friendly,3.532276856,206,56,Coimbra,807738,3
