Classificacao do Jogador,ID do Jogador,Idade,Gols,Assistencias,Chutes,Passes,Roubadas de Bola,Cartoes Amarelos,Cartoes Vermelhos,Minutos Jogados,Posse de Bola,Altura do Jogador (cm),Peso do Jogador (kg),Cidade Natal,Pe Dominante,Numero da Camisa
4.43,1,29,0,1,1,22,0,0,0,77,68.87582754,198,55,Faro,Direito,47
6.02,2,26,2,0,0,21,0,0,0,48,57.14117128,189,95,Faro,Esquerdo,63
3.34,3,26,0,0,3,19,0,0,0,39,56.0417163,167,78,Lisboa,Ambidestro,57
3.02,4,37,0,0,0,19,1,0,0,100,53.83007892,185,93,Lisboa,Direito,48
12.16,5,24,3,2,2,17,0,0,0,74,69.78792806,159,88,Lisboa,Esquerdo,81
6.72,6,18,1,0,4,14,1,0,0,94,53.34978994,175,82,Faro,Ambidestro,7
5.28,7,23,1,0,2,19,0,0,0,80,66.22193466,161,99,Faro,Direito,39
2.24,8,25,0,0,4,19,1,0,1,112,65.42675603,171,53,Lisboa,Ambidestro,59
6.96,9,28,1,0,2,21,2,0,0,113,56.81521744,155,78,Coimbra,Ambidestro,33
3.08,10,31,0,0,3,25,1,1,0,11,54.33211892,164,80,Lisboa,Direito,75
3.5,11,25,0,0,2,22,1,0,0,4,66.43767758,174,82,Lisboa,Ambidestro,96
3.88,12,23,0,0,1,28,1,0,0,90,52.82557608,163,82,Faro,Direito,79
5.87,13,31,1,0,2,19,2,0,0,1,51.01452081,152,85,Braga,Esquerdo,4
6.35,14,39,1,0,2,14,3,0,0,3,52.00461366,172,55,Faro,Direito,41
5.84,15,32,1,0,2,22,1,0,0,48,64.21697508,209,89,Porto,Ambidestro,5
5.11,16,33,1,0,2,17,0,0,0,76,62.89906121,177,74,Porto,Direito,86
4.9,17,21,1,1,2,27,1,0,1,80,68.25710222,168,77,Coimbra,Esquerdo,45
7.05,18,31,2,0,1,23,1,0,0,20,53.16799183,185,65,Lisboa,Ambidestro,59
7.36,19,19,1,1,1,27,2,0,0,8,54.38150429,171,52,Coimbra,Esquerdo,59
3.88,20,26,0,1,3,21,0,1,0,34,54.94739216,160,58,Braga,Esquerdo,9
5.44,21,20,0,0,1,17,4,0,0,90,53.86964771,150,84,Braga,Direito,39
4.61,22,31,1,0,1,28,0,0,0,14,59.59952022,192,89,Faro,Esquerdo,15
6.05,23,28,0,0,4,18,3,0,0,51,62.87227278,179,58,Porto,Direito,19
3.46,24,22,0,0,0,26,2,0,0,27,53.98598735,169,51,Faro,Esquerdo,99
7.55,25,35,1,1,2,21,1,0,0,84,59.83212979,188,76,Lisboa,Esquerdo,34
8.5,26,19,1,1,2,24,2,0,0,91,64.2301116,204,59,Porto,Ambidestro,17
9.39,27,18,2,1,2,20,1,0,0,68,61.90070403,202,53,Porto,Esquerdo,56
4.99,28,30,0,0,2,24,2,0,0,100,55.98759514,198,55,Faro,Esquerdo,75
5.68,29,34,1,0,2,18,1,0,0,67,52.57024376,204,98,Faro,Esquerdo,76
4.19,30,18,0,0,0,19,3,0,0,72,53.8138294,171,54,Porto,Direito,32
2.13,31,37,0,0,1,17,0,0,0,29,53.8305826,174,97,Porto,Ambidestro,23
3.73,32,19,0,0,2,26,1,0,0,7,66.71760889,174,83,Faro,Esquerdo,16
