Potencial do Jogador,Idade,Posicao,Gols,Assistencias,Chutes ao Gol,Precisao de Passe,Desarmes,Interceptacoes,Faltas,Cartoes Amarelos,Cartoes Vermelhos,Historico de Lesoes,Altura do Jogador (cm),Peso do Jogador (kg),Cidade Natal,Pe Dominante
60,28,Midfielder,5,2,17,87.1,2,1,1,0,0,High,150,78,Faro,Direito
81,31,Midfielder,2,0,13,84.3,1,1,1,1,0,Medium,186,91,Braga,Ambidestro
86,16,Goalkeeper,2,2,7,82.6,0,3,1,0,0,None,196,99,Lisboa,Ambidestro
79,19,Goalkeeper,4,1,7,85.7,2,1,0,0,0,Medium,156,99,Lisboa,Esquerdo
51,19,Defender,3,5,8,93.6,3,2,1,1,0,Medium,195,52,Braga,Esquerdo
77,23,Midfielder,6,3,7,99.2,5,2,2,0,0,None,170,88,Coimbra,Ambidestro
80,25,Midfielder,7,6,11,98.3,0,4,2,0,0,None,152,51,Lisboa,Ambidestro
52,34,Midfielder,9,3,11,74.5,3,4,0,0,0,Medium,151,69,Porto,Esquerdo
93,20,Midfielder,4,4,13,99.7,2,4,1,0,0,High,180,55,Porto,Esquerdo
56,22,Goalkeeper,6,7,11,91.5,0,2,1,0,0,Medium,153,50,Faro,Direito
93,28,Forward,5,0,12,94.3,5,1,0,0,0,Low,192,77,Porto,Direito
66,17,Midfielder,4,1,9,94.1,1,0,0,0,0,None,181,78,Faro,Ambidestro
62,22,Midfielder,9,4,12,71.0,3,1,1,0,0,None,203,59,Lisboa,Direito
96,23,Midfielder,3,3,18,83.1,1,3,1,0,0,Medium,169,87,Faro,Esquerdo
100,30,Midfielder,7,5,13,90.8,0,4,2,0,0,High,193,63,Coimbra,Esquerdo
93,33,Forward,4,4,9,97.1,1,0,1,1,0,Medium,186,74,Lisboa,Esquerdo
57,21,Forward,3,2,7,82.1,1,1,1,1,0,High,193,92,Coimbra,Direito
98,29,Defender,9,4,6,78.0,2,4,2,1,0,Low,180,60,Lisboa,Direito
98,24,Goalkeeper,3,5,11,73.5,3,4,1,0,0,Medium,189,56,Faro,Esquerdo
97,25,Midfielder,4,5,15,90.6,7,1,0,0,0,Low,169,50,Coimbra,Ambidestro
58,32,Midfielder,2,1,11,99.5,2,2,1,0,0,None,191,95,Faro,Ambidestro
79,21,Defender,9,1,5,81.4,3,4,2,0,0,None,195,90,Lisboa,Ambidestro
97,31,Forward,7,4,7,98.4,2,1,2,0,0,None,159,52,Faro,Esquerdo
76,31,Defender,9,0,7,74.0,1,2,1,0,0,Medium,203,72,Coimbra,Direito
72,16,Forward,6,3,7,75.9,3,0,1,0,0,Medium,180,73,Faro,Direito
60,34,Goalkeeper,6,4,6,70.3,0,2,0,0,0,None,171,54,Lisboa,Esquerdo
100,19,Defender,4,2,7,95.1,3,2,3,0,1,Low,155,55,Porto,Ambidestro
58,33,Defender,5,2,11,84.4,1,4,1,1,0,Low,176,63,Braga,Esquerdo
69,30,Midfielder,5,3,12,86.2,2,0,1,0,0,Low,207,84,Coimbra,Ambidestro
75,23,Defender,5,2,3,85.1,2,7,0,0,0,None,176,81,Faro,Ambidestro
92,16,Forward,4,5,10,80.7,3,0,1,1,0,Low,195,50,Lisboa,Direito
86,17,Forward,5,4,10,87.5,0,0,1,0,0,Low,203,90,Porto,Ambidestro
87,25,Defender,3,2,10,87.9,0,3,1,0,0,Low,162,92,Coimbra,Direito
72,16,Forward,3,4,9,70.4,2,1,2,1,0,High,180,83,Faro,Direito
73,26,Defender,4,3,11,99.9,1,2,0,0,0,High,186,75,Porto,Ambidestro
69,19,Goalkeeper,9,4,6,81.1,1,3,0,0,0,High,191,68,Coimbra,Esquerdo
71,27,Midfielder,9,3,12,86.7,3,2,0,0,0,None,177,84,Porto,Ambidestro
90,34,Goalkeeper,7,3,6,81.5,3,1,0,0,0,None,154,78,Faro,Direito
80,18,Goalkeeper,5,3,11,95.0,1,0,1,0,0,Low,157,54,Coimbra,Esquerdo
82,16,Midfielder,5,3,14,85.3,2,1,1,0,0,Medium,174,76,Braga,Esquerdo
57,16,Midfielder,7,3,8,71.0,2,0,0,0,0,High,189,78,Braga,Ambidestro
83,20,Midfielder,6,2,12,73.5,3,1,1,0,0,None,166,89,Faro,Esquerdo
69,21,Defender,11,0,10,88.3,4,2,1,0,0,High,208,89,Porto,Ambidestro
85,22,Forward,3,6,10,93.8,2,1,0,1,0,Low,158,92,Braga,Esquerdo
99,24,Defender,5,7,8,87.3,5,3,1,0,0,Medium,164,68,Porto,Esquerdo
90,33,Forward,3,3,18,76.1,3,2,3,0,0,None,160,80,Faro,Ambidestro
76,31,Defender,1,2,9,77.9,1,1,1,0,0,None,195,57,Lisboa,Esquerdo
53,20,Forward,6,2,11,86.1,0,0,3,0,0,Low,198,65,Faro,Direito
73,25,Forward,4,2,9,92.6,2,3,1,0,1,None,197,70,Coimbra,Direito
93,26,Goalkeeper,9,1,12,77.9,2,1,2,1,1,Medium,209,62,Lisboa,Esquerdo
78,17,Defender,7,4,11,71.5,4,3,2,1,0,Low,153,83,Coimbra,Direito
