Gravidade dos Incidentes,Rivalidade Historica,Distancia entre Cidades dos Times,Consumo de Alcool,Presenca de Seguranca,Incidentes de Violencia Passados,Temperatura,Dia da Semana,Chuva,Sequencia de Vitorias do Time,Mistura na Zona dos Fas,Jogo Noite Adentro,Numero de Barracas de Concessao,Distancia de Viagem do Time Adversario
4.712568603,3,54,4,21,3,21,7,0,0,1,0,15,301
0.5,1,487,0,253,2,25,5,0,5,0,0,3,396
0.991404815,4,215,0,112,2,21,7,1,3,0,0,11,246
4.29744568,5,495,3,285,2,22,2,1,9,1,1,10,202
5.374167519,2,74,4,16,2,18,1,0,9,1,1,17,636
2.435063845,2,557,2,356,4,24,6,0,0,0,0,8,164
4.063877117,2,147,5,464,5,34,3,0,3,0,0,5,634
3.269295078,5,317,3,139,2,29,6,0,9,0,1,19,869
1.975955456,0,711,4,308,2,29,6,0,0,1,1,13,649
2.484343572,5,442,2,106,1,33,2,0,7,1,0,15,807
1.844210986,0,813,4,286,2,24,6,0,8,1,0,4,257
0.8,2,645,1,294,0,16,6,0,5,1,0,15,627
3.488646896,3,334,2,297,1,30,1,0,4,1,1,16,243
4.566007066,3,733,5,182,1,34,5,0,8,0,0,9,645
1.116802016,0,782,1,341,3,19,2,0,4,0,0,9,885
0.6,2,158,0,214,0,31,6,1,4,0,1,3,851
3.114962049,5,76,3,112,3,17,3,0,0,0,0,11,551
4.151664419,3,807,4,122,1,22,1,0,6,1,0,14,377
0.605643782,0,104,3,452,2,25,5,1,0,0,0,13,755
3.946838698,5,182,5,369,2,19,7,0,2,0,0,13,320
2.793077673,2,101,4,140,1,31,7,1,2,0,0,16,923
3.439152355,1,542,1,48,4,18,1,0,1,1,0,13,889
3.637729971,2,814,2,316,2,22,3,0,5,1,1,16,393
4.695047487,2,830,2,381,2,16,5,0,9,1,0,17,431
4.194471078,5,347,4,17,4,30,4,0,2,1,0,18,241
3.080978708,5,448,1,375,0,23,4,1,6,1,0,2,286
4.833132879,4,640,4,55,4,31,2,0,3,1,0,15,82
5.381265769,4,67,4,203,3,24,5,0,2,1,1,10,270
5.754774414,5,867,4,15,2,27,7,0,2,0,0,2,945
2.059825717,5,819,2,377,2,31,5,0,3,1,0,15,50
